Población de la C.A. de Euskadi por año de nacimiento, según el territorio histórico y el sexo. 01/01/2021
C.A. de Euskadi;Araba/Álava;Bizkaia;Gipuzkoa
Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres
Total;2193199;1064041;1129158;330189;162237;167952;1144123;550537;593586;718887;351267;367620
Año de nacimiento
2020;14580;7556;7024;2386;1234;1152;7209;3741;3468;4985;2581;2404
2019;15498;7932;7566;2606;1315;1291;7722;3999;3723;5170;2618;2552
2018;16287;8328;7959;2730;1412;1318;8037;4068;3969;5520;2848;2672
2017;17384;9002;8382;3006;1546;1460;8642;4472;4170;5736;2984;2752
2016;18748;9574;9174;3188;1609;1579;9343;4789;4554;6217;3176;3041
2015;19520;10037;9483;3325;1717;1608;9626;5027;4599;6569;3293;3276
2014;20119;10254;9865;3398;1730;1668;10118;5156;4962;6603;3368;3235
2013;19798;10157;9641;3257;1705;1552;9971;5097;4874;6570;3355;3215
2012;21192;11041;10151;3495;1833;1662;10466;5400;5066;7231;3808;3423
2011;21820;11131;10689;3602;1871;1731;10837;5465;5372;7381;3795;3586
2010;22085;11245;10840;3635;1873;1762;10836;5516;5320;7614;3856;3758
2009;21734;11305;10429;3448;1813;1635;10731;5547;5184;7555;3945;3610
2008;22355;11561;10794;3518;1817;1701;11202;5752;5450;7635;3992;3643
2007;21630;11198;10432;3272;1650;1622;10783;5667;5116;7575;3881;3694
2006;21435;11041;10394;3258;1700;1558;10612;5440;5172;7565;3901;3664
2005;21339;10967;10372;3161;1619;1542;10768;5501;5267;7410;3847;3563
2004;21502;11099;10403;3237;1685;1552;10839;5616;5223;7426;3798;3628
2003;21485;11210;10275;3167;1638;1529;10914;5703;5211;7404;3869;3535
2002;20661;10684;9977;3056;1602;1454;10526;5475;5051;7079;3607;3472
2001;20562;10825;9737;2987;1542;1445;10471;5575;4896;7104;3708;3396
2000;20613;10774;9839;3075;1619;1456;10474;5466;5008;7064;3689;3375
1999;20265;10356;9909;2958;1492;1466;10263;5234;5029;7044;3630;3414
1998;19519;10061;9458;2819;1420;1399;9820;5100;4720;6880;3541;3339
1997;20015;10264;9751;2859;1452;1407;10138;5165;4973;7018;3647;3371
1996;19956;10091;9865;2924;1491;1433;10137;5085;5052;6895;3515;3380
1995;19453;9921;9532;2756;1421;1335;10011;5085;4926;6686;3415;3271
1994;19306;9780;9526;2788;1452;1336;10020;4987;5033;6498;3341;3157
1993;19916;9985;9931;2992;1442;1550;10328;5187;5141;6596;3356;3240
1992;20319;10284;10035;3004;1523;1481;10590;5328;5262;6725;3433;3292
1991;20156;10093;10063;2969;1476;1493;10470;5239;5231;6717;3378;3339
1990;20493;10230;10263;3041;1501;1540;10677;5393;5284;6775;3336;3439
1989;20943;10347;10596;3163;1595;1568;10917;5376;5541;6863;3376;3487
1988;22139;10920;11219;3570;1712;1858;11530;5677;5853;7039;3531;3508
1987;22384;11138;11246;3387;1696;1691;11859;5829;6030;7138;3613;3525
1986;23606;11800;11806;3647;1796;1851;12349;6191;6158;7610;3813;3797
1985;24507;12206;12301;3991;1945;2046;12832;6419;6413;7684;3842;3842
1984;25440;12674;12766;4110;2065;2045;13331;6650;6681;7999;3959;4040
1983;26705;13233;13472;4323;2089;2234;13995;6949;7046;8387;4195;4192
1982;28302;14168;14134;4515;2241;2274;14695;7314;7381;9092;4613;4479
1981;29947;14896;15051;4822;2434;2388;15647;7805;7842;9478;4657;4821
1980;31241;15725;15516;5030;2518;2512;16454;8327;8127;9757;4880;4877
1979;32716;16401;16315;5342;2687;2655;17008;8532;8476;10366;5182;5184
1978;34996;17542;17454;5571;2837;2734;18274;9115;9159;11151;5590;5561
1977;35979;18245;17734;5547;2879;2668;18739;9463;9276;11693;5903;5790
1976;37246;18747;18499;5880;3018;2862;19286;9541;9745;12080;6188;5892
1975;36845;18589;18256;5754;2953;2801;19177;9518;9659;11914;6118;5796
1974;36518;18288;18230;5602;2847;2755;18920;9412;9508;11996;6029;5967
1973;35775;18206;17569;5476;2819;2657;18574;9353;9221;11725;6034;5691
1972;35901;18218;17683;5395;2758;2637;18749;9430;9319;11757;6030;5727
1971;35472;17858;17614;5477;2811;2666;18603;9263;9340;11392;5784;5608
1970;34636;17436;17200;5186;2595;2591;18211;9093;9118;11239;5748;5491
1969;34266;17136;17130;5271;2638;2633;17977;8973;9004;11018;5525;5493
1968;33932;17057;16875;5148;2671;2477;17876;8848;9028;10908;5538;5370
1967;34343;17213;17130;5132;2603;2529;18098;8983;9115;11113;5627;5486
1966;34094;16800;17294;5101;2509;2592;17995;8772;9223;10998;5519;5479
1965;34293;16811;17482;5056;2478;2578;18272;8903;9369;10965;5430;5535
1964;34948;17203;17745;5125;2555;2570;18663;9149;9514;11160;5499;5661
1963;33433;16235;17198;4866;2376;2490;17902;8589;9313;10665;5270;5395
1962;32489;15728;16761;4781;2287;2494;17491;8494;8997;10217;4947;5270
1961;31866;15444;16422;4644;2288;2356;17004;8108;8896;10218;5048;5170
1960;32130;15467;16663;4597;2183;2414;17308;8305;9003;10225;4979;5246
1959;32116;15510;16606;4504;2196;2308;17392;8332;9060;10220;4982;5238
1958;30908;14840;16068;4394;2107;2287;16648;7916;8732;9866;4817;5049
1957;30437;14722;15715;4308;2057;2251;16599;7970;8629;9530;4695;4835
1956;28848;13915;14933;4189;2038;2151;15386;7284;8102;9273;4593;4680
1955;27507;13059;14448;3987;1871;2116;14732;6954;7778;8788;4234;4554
1954;26200;12432;13768;3828;1840;1988;13923;6579;7344;8449;4013;4436
1953;26144;12383;13761;3789;1830;1959;13839;6468;7371;8516;4085;4431
1952;25804;12249;13555;3780;1863;1917;13635;6394;7241;8389;3992;4397
1951;24089;11285;12804;3511;1628;1883;12514;5862;6652;8064;3795;4269
1950;24201;11205;12996;3437;1630;1807;12839;5837;7002;7925;3738;4187
1949;24859;11601;13258;3650;1715;1935;13010;6026;6984;8199;3860;4339
1948;25212;11697;13515;3635;1723;1912;13156;5979;7177;8421;3995;4426
1947;22928;10527;12401;3299;1572;1727;11900;5400;6500;7729;3555;4174
1946;22451;10222;12229;3220;1514;1706;11613;5169;6444;7618;3539;4079
1945;22569;9935;12634;3276;1518;1758;11635;4964;6671;7658;3453;4205
1944;21108;9421;11687;3078;1469;1609;11051;4809;6242;6979;3143;3836
1943;19956;8738;11218;2901;1354;1547;10450;4484;5966;6605;2900;3705
1942;16672;7363;9309;2379;1106;1273;8839;3829;5010;5454;2428;3026
1941;15618;6653;8965;2208;999;1209;8306;3480;4826;5104;2174;2930
1940;16683;7088;9595;2381;1067;1314;8890;3684;5206;5412;2337;3075
1939;12191;4973;7218;1766;760;1006;6391;2525;3866;4034;1688;2346
1938;12609;5172;7437;1735;796;939;6751;2620;4131;4123;1756;2367
1937;13361;5230;8131;1729;714;1015;7232;2747;4485;4400;1769;2631
1936;14460;5314;9146;1993;781;1212;7859;2794;5065;4608;1739;2869
1935;13053;4996;8057;1710;696;1014;7120;2720;4400;4223;1580;2643
1934;12596;4597;7999;1612;620;992;6932;2535;4397;4052;1442;2610
1933;11543;4118;7425;1515;578;937;6392;2257;4135;3636;1283;2353
1932;10499;3493;7006;1351;484;867;5806;1898;3908;3342;1111;2231
1931;8837;2919;5918;1152;421;731;4914;1577;3337;2771;921;1850
1930;7538;2275;5263;1048;334;714;4121;1246;2875;2369;695;1674
1929;6085;1809;4276;797;247;550;3385;1024;2361;1903;538;1365
1928;5109;1468;3641;660;211;449;2804;816;1988;1645;441;1204
1927;3921;1030;2891;525;141;384;2172;544;1628;1224;345;879
1926;3026;712;2314;395;85;310;1633;404;1229;998;223;775
1925;2272;493;1779;320;69;251;1296;291;1005;656;133;523
1924;1664;324;1340;225;48;177;870;166;704;569;110;459
1923;1189;236;953;175;34;141;656;127;529;358;75;283
1922;810;148;662;124;20;104;441;78;363;245;50;195
1921;518;71;447;62;7;55;272;41;231;184;23;161
1920;314;43;271;42;5;37;169;21;148;103;17;86
1919;176;23;153;26;2;24;94;11;83;56;10;46
1918;108;6;102;17;1;16;53;1;52;38;4;34
1917;84;8;76;21;2;19;39;4;35;24;2;22
1916;32;4;28;6;0;6;18;2;16;8;2;6
<=1915;57;17;40;3;1;2;29;12;17;25;4;21
Fuente: Eustat. Estadística municipal de habitantes y Censos de población y viviendas
